antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({1708, 88444})",frozenset({70509}),0.0014247356019507918,0.0081374321880651,0.0010411529398871172,0.7307692307692308,89.80341880341881,0.0010295592505403205,3.6840609661586163,0.9902754471648033
"frozenset({88444, 70509})",frozenset({1708}),0.0015891281714066525,0.004822182037371911,0.0010411529398871172,0.6551724137931034,135.86637931034483,0.0010334898745638784,2.886015672091621,0.9942197700618175
"frozenset({1708, 70509})",frozenset({88444}),0.0016987232177105595,0.003397446435421119,0.0010411529398871172,0.6129032258064516,180.40114464099895,0.0010353816187463393,2.5745565967084953,0.9961489793206255
frozenset({70447}),frozenset({87945}),0.002822072442325607,0.003616636528028933,0.0014247356019507918,0.5048543689320388,139.59223300970874,0.0014145291916711333,2.012303655639471,0.9956460629630022
frozenset({70450}),frozenset({70449}),0.0027672749191736535,0.005205764699435586,0.0016165269329826292,0.5841584158415841,112.21375716519019,0.0016021211508947615,2.3922432801275475,0.9938386615026475
frozenset({88676}),frozenset({70509}),0.0015069318866787222,0.0081374321880651,0.0010411529398871172,0.6909090909090909,84.9050505050505,0.001028890383847236,3.20896713115626,0.9897135685576756
frozenset({88676}),frozenset({88411}),0.0015069318866787222,0.00457559318318812,0.0012055455093429777,0.7999999999999999,174.84071856287423,0.0011986504020747616,4.977122034084058,0.9957810827868178
frozenset({88676}),frozenset({135493}),0.0015069318866787222,0.0016713244561345827,0.0010411529398871172,0.6909090909090909,413.39016393442625,0.001038634367771182,3.229886891465447,0.9990865331151605
frozenset({135493}),frozenset({88676}),0.0016713244561345827,0.0015069318866787222,0.0010411529398871172,0.6229508196721312,413.39016393442625,0.001038634367771182,2.6481772676048956,0.9992510504793422
frozenset({1697}),frozenset({70509}),0.002822072442325607,0.0081374321880651,0.0015617294098306757,0.5533980582524272,68.00647249190938,0.0015387649867014438,2.2209096627093325,0.9880839617934795
"frozenset({1697, 88411})",frozenset({70509}),0.0013151405556468849,0.0081374321880651,0.0012329442709189545,0.9375,115.20833333333333,0.0012222424038296038,15.869801084990959,0.9926255144032923
"frozenset({1697, 70509})",frozenset({88411}),0.0015617294098306757,0.00457559318318812,0.0012329442709189545,0.7894736842105263,172.5401827923101,0.0012257984324773488,4.728265932379856,0.995759355304922
"frozenset({88411, 70509})",frozenset({1697}),0.0020823058797742344,0.002822072442325607,0.0012329442709189545,0.5921052631578947,209.81221257026058,0.001227067852879151,2.4446942740123627,0.9973105388074363
frozenset({135493}),frozenset({88411}),0.0016713244561345827,0.00457559318318812,0.0012603430324949311,0.7540983606557377,164.80887405516833,0.0012526957317065461,4.048059254388368,0.9955963300562852
frozenset({135493}),frozenset({70509}),0.0016713244561345827,0.0081374321880651,0.0012329442709189545,0.7377049180327869,90.65573770491804,0.0012193439814929046,3.7814760397830027,0.9906249142355298
"frozenset({88411, 135493})",frozenset({70509}),0.0012603430324949311,0.0081374321880651,0.0010959504630390707,0.8695652173913044,106.85990338164251,0.001085694507078443,7.604279686558173,0.9918920772522769
"frozenset({88411, 70509})",frozenset({135493}),0.0020823058797742344,0.0016713244561345827,0.0010959504630390707,0.5263157894736842,314.90940465918897,0.0010924702542970512,2.1075827594814935,0.9989045082642359
"frozenset({135493, 70509})",frozenset({88411}),0.0012329442709189545,0.00457559318318812,0.0010959504630390707,0.8888888888888888,194.26746506986026,0.0010903090116378032,8.958819661351303,0.9960805695004528
frozenset({135493}),"frozenset({88411, 70509})",0.0016713244561345827,0.0020823058797742344,0.0010959504630390707,0.6557377049180328,314.90940465918897,0.0010924702542970512,2.8987133019682756,0.998493289787853
frozenset({3336149}),frozenset({88411}),0.0022740972108060715,0.00457559318318812,0.0011507479861910242,0.5060240963855422,110.59202077772167,0.0011403426424953528,2.015127457702327,0.9932164270349084
frozenset({3336149}),frozenset({70509}),0.0022740972108060715,0.0081374321880651,0.0012329442709189545,0.5421686746987953,66.62650602409639,0.0012144389590769522,2.1664366612734374,0.9872360291088836
"frozenset({88411, 3336149})",frozenset({70509}),0.0011507479861910242,0.0081374321880651,0.0010411529398871172,0.9047619047619049,111.18518518518519,0.0010317888061839352,10.41455696202533,0.9921477079796265
"frozenset({3336149, 70509})",frozenset({88411}),0.0012329442709189545,0.00457559318318812,0.0010411529398871172,0.8444444444444444,184.55409181636725,0.0010355114884858497,6.399156900965219,0.9958093117742096
"frozenset({88411, 70509})",frozenset({3336149}),0.0020823058797742344,0.0022740972108060715,0.0010411529398871172,0.5,219.86746987951807,0.0010364175738938775,1.9954518055783879,0.9975289660095545
frozenset({1755}),frozenset({88411}),0.0021645021645021645,0.00457559318318812,0.0012055455093429777,0.5569620253164557,121.72455089820357,0.0011956416279940857,2.2468150896722325,0.9939361072766714
frozenset({135789}),frozenset({88411}),0.0021645021645021645,0.00457559318318812,0.001178146747767001,0.5443037974683544,118.95808383233532,0.001168242866418109,2.1844035594035596,0.9937446400645714
frozenset({1698}),frozenset({70509}),0.003534440243301003,0.0081374321880651,0.0020549071181982575,0.5813953488372093,71.44702842377261,0.002026145850395627,2.3694494675507336,0.98950094861008
"frozenset({1698, 88411})",frozenset({70509}),0.0014795331251027453,0.0081374321880651,0.0013151405556468849,0.888888888888889,109.23456790123457,0.0013031009551713651,8.92676311030742,0.9923135495554822
"frozenset({1698, 70509})",frozenset({88411}),0.0020549071181982575,0.00457559318318812,0.0013151405556468849,0.64,139.8725748502994,0.0013057381366447722,2.7650677967133666,0.9948950525766685
"frozenset({88411, 70509})",frozenset({1698}),0.0020823058797742344,0.003534440243301003,0.0013151405556468849,0.631578947368421,178.69277845777233,0.0013077807699465485,2.704692233625326,0.9964787765636155
"frozenset({1698, 23004})",frozenset({70509}),0.001178146747767001,0.0081374321880651,0.0010411529398871172,0.8837209302325582,108.59948320413436,0.0010315658506195738,8.530018083182641,0.9919605281204659
"frozenset({1698, 70509})",frozenset({23004}),0.0020549071181982575,0.0047399857526439805,0.0010411529398871172,0.5066666666666667,106.8920231213873,0.0010314127094238508,2.017418947798695,0.9926846396941206
"frozenset({23004, 70509})",frozenset({1698}),0.0016987232177105595,0.003534440243301003,0.0010411529398871172,0.6129032258064516,173.40885221305325,0.0010351489041842113,2.5742026960381392,0.9959250827694993
frozenset({87118}),frozenset({70509}),0.0018905145487423968,0.0081374321880651,0.0010959504630390707,0.5797101449275363,71.23993558776168,0.0010805665290981288,2.3599488682421903,0.9878304372889731
frozenset({88622}),frozenset({88623}),0.001397336840374815,0.0018905145487423968,0.0012603430324949311,0.9019607843137255,477.0980392156863,0.0012577013468687088,10.180716751602828,0.9993003539385957
frozenset({88623}),frozenset({88622}),0.0018905145487423968,0.001397336840374815,0.0012603430324949311,0.6666666666666666,477.0980392156863,0.0012577013468687088,2.9958079894788754,0.9997941200691757
frozenset({135492}),frozenset({88411}),0.0012603430324949311,0.00457559318318812,0.0010685517014630938,0.8478260869565217,185.2931528247852,0.0010627848844751314,6.541360387653334,0.9958582695332392
frozenset({135492}),frozenset({70509}),0.0012603430324949311,0.0081374321880651,0.0010411529398871172,0.8260869565217392,101.5169082125604,0.0010308969839264894,5.70320976491863,0.9913989269233656
frozenset({88443}),frozenset({88411}),0.0021371034029261876,0.00457559318318812,0.0010959504630390707,0.5128205128205129,112.07738369415017,0.0010861719472768734,2.0432395718871406,0.9932001647446457
frozenset({88623}),frozenset({70509}),0.0018905145487423968,0.0081374321880651,0.0012329442709189545,0.6521739130434783,80.14492753623188,0.0012175603369780127,2.851604882459313,0.9893930659639297
frozenset({88623}),frozenset({88411}),0.0018905145487423968,0.00457559318318812,0.0011507479861910242,0.6086956521739131,133.0309815152304,0.0011420977607090805,2.5438623729762972,0.9943628114179051
frozenset({15157064}),frozenset({14481833}),0.0020549071181982575,0.0015069318866787222,0.0011233492246150473,0.5466666666666666,362.768,0.0011202526195544713,2.2025582384852673,0.9992968795514493
frozenset({14481833}),frozenset({15157064}),0.0015069318866787222,0.0020549071181982575,0.0011233492246150473,0.7454545454545454,362.768,0.0011202526195544713,3.920498579178506,0.9987484631864127
frozenset({14876857}),frozenset({14870535}),0.0011233492246150473,0.0010959504630390707,0.0010959504630390707,0.9756097560975611,890.1951219512196,0.0010947193279361993,40.95506603101555,1.0000000000000002
frozenset({14870535}),frozenset({14876857}),0.0010959504630390707,0.0011233492246150473,0.0010959504630390707,1.0,890.1951219512196,0.0010947193279361993,inf,0.9999725711777937
frozenset({14760944}),frozenset({14752201}),0.0017809195024384899,0.0015617294098306757,0.0015617294098306757,0.8769230769230769,561.5076923076923,0.0015589480954671764,8.112310948545126,1.0
frozenset({14752201}),frozenset({14760944}),0.0015617294098306757,0.0017809195024384899,0.0015617294098306757,1.0,561.5076923076923,0.0015589480954671764,inf,0.9997804670563376
frozenset({14671860}),frozenset({15192100}),0.001643925694558606,0.0018905145487423968,0.0010959504630390707,0.6666666666666666,352.63768115942025,0.0010928425975964562,2.9943284563537724,0.9988061913387124
frozenset({15192100}),frozenset({14671860}),0.0018905145487423968,0.001643925694558606,0.0010959504630390707,0.5797101449275363,352.6376811594203,0.0010928425975964562,2.375398935416395,0.9990529523182081
frozenset({15194056}),frozenset({15192100}),0.0014521343635267687,0.0018905145487423968,0.0011233492246150473,0.7735849056603773,409.19278096800656,0.0011206039434740712,4.408316894076386,0.9990068563053581
frozenset({15192100}),frozenset({15194056}),0.0018905145487423968,0.0014521343635267687,0.0011233492246150473,0.5942028985507246,409.1927809680065,0.0011206039434740712,2.4607072403184516,0.9994456306252927
frozenset({14675955}),frozenset({15192100}),0.0014521343635267687,0.0018905145487423968,0.0010411529398871172,0.7169811320754718,379.2518457752256,0.001038407658746141,3.5266535152611107,0.9988136413196526
frozenset({15192100}),frozenset({14675955}),0.0018905145487423968,0.0014521343635267687,0.0010411529398871172,0.5507246376811594,379.25184577522555,0.001038407658746141,2.222574281577957,0.9992523307775328
frozenset({15192100}),frozenset({14980086}),0.0018905145487423968,0.0015891281714066525,0.0011507479861910242,0.6086956521739131,383.03748125937034,0.0011477437162631635,2.5514944502286276,0.999278439861492
frozenset({14980086}),frozenset({15192100}),0.0015891281714066525,0.0018905145487423968,0.0011507479861910242,0.7241379310344828,383.03748125937034,0.0011477437162631635,3.6181468847608085,0.9989767915947938
frozenset({14671860}),frozenset({14980086}),0.001643925694558606,0.0015891281714066525,0.0010685517014630938,0.6499999999999999,409.0293103448275,0.0010659392928301715,2.852602490938837,0.9991977943566944
frozenset({14980086}),frozenset({14671860}),0.0015891281714066525,0.001643925694558606,0.0010685517014630938,0.6724137931034482,409.02931034482754,0.0010659392928301715,3.047613279458715,0.9991429536435026
